n,growth2.ticks
265,4243
266,4244
267,4245
268,4246
269,4247
270,4248
271,4249
272,4250
273,4251
274,4252
275,4253
276,4254
277,4255
278,4256
279,4257
280,4258
281,4259
282,4260
283,4845
284,4846
285,4847
286,4848
287,4849
288,4850
289,4851
290,4852
291,4853
292,4854
293,4855
294,4856
295,4857
296,4858
297,4859
298,4860
299,4861
300,4862
301,4863
302,4864
303,5489
304,5490
305,5491
306,5492
307,5493
308,5494
309,5495
310,5496
311,5497
312,5498
313,5499
314,5500
315,5501
316,5502
317,5503
318,5504
319,5505
320,5506
321,5507
322,5508
323,6173
324,6174
325,6175
326,6176
327,6177
328,6178
329,6179
330,6180
331,6181
332,6182
333,6183
334,6184
335,6185
336,6186
337,6187
338,6188
339,6189
340,6190
341,6191
342,6192
343,6897
344,6898
345,6899
346,6900
347,6901
348,6902
349,6903
350,6904
351,6905
352,6906
353,6907
354,6908
355,6909
356,6910
357,6911
358,6912
359,6913
360,6914
361,6915
362,6916
363,7661
364,7662
365,7663
366,7664
367,7665
368,7666
369,7667
370,7668
371,7669
372,7670
373,7671
374,7672
375,7673
376,7674
377,7675
378,7676
379,7677
380,7678
381,7679
382,7680
383,8465
384,8466
385,8467
386,8468
387,8469
388,8470
389,8471
390,8472
391,8473
392,8474
393,8475
394,8476
395,8477
396,8478
397,8479
398,8480
399,8481
400,8482
401,8483
402,8484
403,9309
404,9310
405,9311
406,9312
407,9313
408,9314
409,9315
410,9316
411,9317
412,9318
413,9319
414,9320
415,9321
416,9322
417,9323
418,9324
419,9325
420,9326
421,9327
422,9328
423,10193
424,10194
425,10195
426,10196
427,10197
428,10198
429,10199
430,10200
431,10201
432,10202
433,10203
434,10204
435,10205
436,10206
437,10207
438,10208
439,10209
440,10210
441,10211
442,10212
443,11117
444,11118
445,11119
446,11120
447,11121
448,11122
449,11123
450,11124
451,11125
452,11126
453,11127
454,11128
455,11129
456,11130
457,11131
458,11132
459,11133
460,11134
461,11135
462,11136
463,12081
464,12082
465,12083
466,12084
467,12085
468,12086
469,12087
470,12088
471,12089
472,12090
473,12091
474,12092
475,12093
476,12094
477,12095
478,12096
479,12097
480,12098
481,12099
482,12100
483,13085
484,13086
485,13087
486,13088
487,13089
488,13090
489,13091
490,13092
491,13093
492,13094
493,13095
494,13096
495,13097
496,13098
497,13099
498,13100
499,13101
500,13102
501,13103
502,13104
503,14129
504,14130
505,14131
506,14132
507,14133
508,14134
509,14135
510,14136
511,14137
512,14138
513,14139
514,14140
515,14141
516,14142
517,14143
518,14144
519,14145
520,14146
521,14147
522,14148
523,15213
524,15214
525,15215
526,15216
527,15217
528,15218
529,15219
530,15220
531,15221
532,15222
533,15223
534,15224
535,15225
536,15226
537,15227
538,15228
539,15229
540,15230
541,15231
542,15232
543,16337
544,16338
545,16339
546,16340
547,16341
548,16342
549,16343
550,16344
551,16345
552,16346
553,16347
554,16348
555,16349
556,16350
557,16351
558,16352
559,16353
560,16354
561,16355
562,16356
563,17501
564,17502
565,17503
566,17504
567,17505
568,17506
569,17507
570,17508
571,17509
572,17510
573,17511
574,17512
575,17513
576,17514
577,17515
578,17516
579,17517
580,17518
581,17519
582,17520
583,18705
584,18706
585,18707
586,18708
587,18709
588,18710
589,18711
590,18712
591,18713
592,18714
593,18715
594,18716
595,18717
596,18718
597,18719
598,18720
599,18721
600,18722
601,18723
602,18724
603,19949
604,19950
605,19951
606,19952
607,19953
608,19954
609,19955
610,19956
611,19957
612,19958
613,19959
614,19960
615,19961
616,19962
617,19963
618,19964
619,19965
620,19966
621,19967
622,19968
623,21233
624,21234
625,21235
626,21236
627,21237
628,21238
629,21239
630,21240
631,21241
632,21242
633,21243
634,21244
635,21245
636,21246
637,21247
638,21248
639,21249
640,21250
641,21251
642,21252
643,22557
644,22558
645,22559
646,22560
647,22561
648,22562
649,22563
650,22564
651,22565
652,22566
653,22567
654,22568
655,22569
656,22570
657,22571
658,22572
659,22573
660,22574
661,22575
662,22576
663,23921
664,23922
665,23923
666,23924
667,23925
668,23926
669,23927
670,23928
671,23929
672,23930
673,23931
674,23932
675,23933
676,23934
677,23935
678,23936
679,23937
680,23938
681,23939
682,23940
683,25325
684,25326
685,25327
686,25328
687,25329
688,25330
689,25331
690,25332
691,25333
692,25334
693,25335
694,25336
695,25337
696,25338
697,25339
698,25340
699,25341
700,25342
701,25343
702,25344
703,26769
704,26770
705,26771
706,26772
707,26773
708,26774
709,26775
710,26776
711,26777
712,26778
713,26779
714,26780
715,26781
716,26782
717,26783
718,26784
719,26785
720,26786
721,26787
722,26788
723,28253
724,28254
725,28255
726,28256
727,28257
728,28258
729,28259
730,28260
731,28261
732,28262
733,28263
734,28264
735,28265
736,28266
737,28267
738,28268
739,28269
740,28270
741,28271
742,28272
743,29777
744,29778
745,29779
746,29780
747,29781
748,29782
749,29783
750,29784
751,29785
752,29786
753,29787
754,29788
755,29789
756,29790
757,29791
758,29792
759,29793
760,29794
761,29795
762,29796
763,31341
764,31342
765,31343
766,31344
767,31345
768,31346
769,31347
770,31348
771,31349
772,31350
773,31351
774,31352
775,31353
776,31354
777,31355
778,31356
779,31357
780,31358
781,31359
782,31360
783,32945
784,32946
785,32947
786,32948
787,32949
788,32950
789,32951
790,32952
791,32953
792,32954
793,32955
794,32956
795,32957
796,32958
797,32959
798,32960
799,32961
800,32962
801,32963
802,32964
803,34589
804,34590
805,34591
806,34592
807,34593
808,34594
809,34595
810,34596
811,34597
812,34598
813,34599
814,34600
815,34601
816,34602
817,34603
818,34604
819,34605
820,34606
821,34607
822,34608
823,36273
824,36274
825,36275
826,36276
827,36277
828,36278
829,36279
830,36280
831,36281
832,36282
833,36283
834,36284
835,36285
836,36286
837,36287
838,36288
839,36289
840,36290
841,36291
842,36292
843,37997
844,37998
845,37999
846,38000
847,38001
848,38002
849,38003
850,38004
851,38005
852,38006
853,38007
854,38008
855,38009
856,38010
857,38011
858,38012
859,38013
860,38014
861,38015
862,38016
863,39761
864,39762
865,39763
866,39764
867,39765
868,39766
869,39767
870,39768
871,39769
872,39770
873,39771
874,39772
875,39773
876,39774
877,39775
878,39776
879,39777
880,39778
881,39779
882,39780
883,41565
884,41566
885,41567
886,41568
887,41569
888,41570
889,41571
890,41572
891,41573
892,41574
893,41575
894,41576
895,41577
896,41578
897,41579
898,41580
899,41581
900,41582
901,41583
902,41584
903,43409
904,43410
905,43411
906,43412
907,43413
908,43414
909,43415
910,43416
911,43417
912,43418
913,43419
914,43420
915,43421
916,43422
917,43423
918,43424
919,43425
920,43426
921,43427
922,43428
923,45293
924,45294
925,45295
926,45296
927,45297
928,45298
929,45299
930,45300
931,45301
932,45302
933,45303
934,45304
935,45305
936,45306
937,45307
938,45308
939,45309
940,45310
941,45311
942,45312
943,47217
944,47218
945,47219
946,47220
947,47221
948,47222
949,47223
950,47224
951,47225
952,47226
953,47227
954,47228
955,47229
956,47230
957,47231
958,47232
959,47233
960,47234
961,47235
962,47236
963,49181
964,49182
965,49183
966,49184
967,49185
968,49186
969,49187
970,49188
971,49189
972,49190
973,49191
974,49192
975,49193
976,49194
977,49195
978,49196
979,49197
980,49198
981,49199
982,49200
983,51185
984,51186
985,51187
986,51188
987,51189
988,51190
989,51191
990,51192
991,51193
992,51194
993,51195
994,51196
995,51197
996,51198
997,51199
998,51200
999,51201
