n,growth2.ticks
1,3
2,4
3,29
4,30
5,31
6,32
7,33
8,34
9,35
10,36
11,37
12,38
13,39
14,40
15,41
16,42
17,43
18,44
19,45
20,46
21,47
22,48
23,113
24,114
25,115
26,116
27,117
28,118
29,119
30,120
31,121
32,122
33,123
34,124
35,125
36,126
37,127
38,128
39,129
40,130
41,131
42,132
43,237
44,238
45,239
46,240
47,241
48,242
49,243
50,244
51,245
52,246
53,247
54,248
55,249
56,250
57,251
58,252
59,253
60,254
61,255
62,256
63,401
64,402
65,403
66,404
67,405
68,406
69,407
70,408
71,409
72,410
73,411
74,412
75,413
76,414
77,415
78,416
79,417
80,418
81,419
82,420
83,605
84,606
85,607
86,608
87,609
88,610
89,611
90,612
91,613
92,614
93,615
94,616
95,617
96,618
97,619
98,620
99,621
100,622
101,623
102,624
103,849
104,850
105,851
106,852
107,853
108,854
109,855
110,856
111,857
112,858
113,859
114,860
115,861
116,862
117,863
118,864
119,865
120,866
121,867
122,868
123,1133
124,1134
125,1135
126,1136
127,1137
128,1138
129,1139
130,1140
131,1141
132,1142
133,1143
134,1144
135,1145
136,1146
137,1147
138,1148
139,1149
140,1150
141,1151
142,1152
143,1457
144,1458
145,1459
146,1460
147,1461
148,1462
149,1463
150,1464
151,1465
152,1466
153,1467
154,1468
155,1469
156,1470
157,1471
158,1472
159,1473
160,1474
161,1475
162,1476
163,1821
164,1822
165,1823
166,1824
167,1825
168,1826
169,1827
170,1828
171,1829
172,1830
173,1831
174,1832
175,1833
176,1834
177,1835
178,1836
179,1837
180,1838
181,1839
182,1840
183,2225
184,2226
185,2227
186,2228
187,2229
188,2230
189,2231
190,2232
191,2233
192,2234
193,2235
194,2236
195,2237
196,2238
197,2239
198,2240
199,2241
200,2242
201,2243
202,2244
203,2669
204,2670
205,2671
206,2672
207,2673
208,2674
209,2675
210,2676
211,2677
212,2678
213,2679
214,2680
215,2681
216,2682
217,2683
218,2684
219,2685
220,2686
221,2687
222,2688
223,3153
224,3154
225,3155
226,3156
227,3157
228,3158
229,3159
230,3160
231,3161
232,3162
233,3163
234,3164
235,3165
236,3166
237,3167
238,3168
239,3169
240,3170
241,3171
242,3172
243,3677
244,3678
245,3679
246,3680
247,3681
248,3682
249,3683
250,3684
251,3685
252,3686
253,3687
254,3688
255,3689
256,3690
257,3691
258,3692
259,3693
260,3694
261,3695
262,3696
263,4241
264,4242
