n,sortusingbst.time
100,0
200,0
300,0
400,0
500,1
600,1
700,2
800,3
900,4
1000,5
1100,6
1200,8
1300,9
1400,10
1500,11
1600,14
1700,17
1800,18
1900,20
2000,22
2100,26
2200,27
2300,30
2400,31
2500,37
2600,40
2700,47
2800,49
2900,52
3000,60
3100,61
3200,66
3300,61
3400,65
3500,72
3600,74
3700,80
3800,96
3900,96
4000,104
4100,107
4200,110
4300,112
4400,121
4500,122
4600,143
4700,148
4800,139
4900,150
5000,155
5100,165
5200,179
5300,194
5400,196
5500,187
5600,192
5700,204
5800,209
5900,220
6000,226
6100,231
6200,238
6300,247
6400,253
6500,286
6600,283
6700,272
6800,282
6900,293
7000,304
7100,310
7200,317
7300,325
7400,333
7500,341
7600,356
7700,364
7800,373
7900,380
8000,396
8100,404
8200,414
8300,425
8400,433
8500,441
8600,453
8700,470
8800,480
8900,491
9000,499
9100,528
9200,526
9300,534
9400,545
9500,561
9600,566
9700,579
9800,597
9900,609
