n,allocates.time
0,1
500,20
1000,45
1500,52
2000,68
2500,82
3000,102
3500,117
4000,121
4500,137
5000,152
5500,159
6000,175
6500,192
7000,197
7500,215
8000,228
8500,240
9000,247
9500,276
